,2018rank,City_x,State_x,2018estimate,2010Census,Change,2016 land area,2016 population density,Location,city_key,state_key,Rank,Land area (sq mi),Land area (km2),Water area (sq mi),Water area (km2),Total area (sq mi),Total area (km2)
203,204,Gainesville,Florida,"133,857","124,354",+7.64%,62.3 sq mi,"2,112/sq mi",29°40′44″N 82°20′46″W﻿ / ﻿29.6788°N 82.3461°W﻿ / 29.6788; -82.3461﻿ (Gainesville),gainesville,florida,,,,,,,
204,205,Visalia,California,"133,800","124,442",+7.52%,37.5 sq mi,"3,495/sq mi",36°19′38″N 119°19′44″W﻿ / ﻿36.3273°N 119.3289°W﻿ / 36.3273; -119.3289﻿ (Visalia),visalia,california,,,,,,,
205,206,Coral Springs,Florida,"133,507","121,096",+10.25%,23.8 sq mi,"5,465/sq mi",26°16′15″N 80°15′33″W﻿ / ﻿26.2707°N 80.2593°W﻿ / 26.2707; -80.2593﻿ (Coral Springs),coralsprings,florida,,,,,,,
206,207,Columbia,South Carolina,"133,451","129,272",+3.23%,133.5 sq mi,"1,006/sq mi",34°01′45″N 80°53′53″W﻿ / ﻿34.0291°N 80.8980°W﻿ / 34.0291; -80.8980﻿ (Columbia),columbia,southcarolina,74.0,132.2,342,2.7,7.0,134.9,349
207,208,Cedar Rapids,Iowa,"133,174","126,326",+5.42%,70.8 sq mi,"1,852/sq mi",41°58′01″N 91°40′40″W﻿ / ﻿41.9670°N 91.6778°W﻿ / 41.9670; -91.6778﻿ (Cedar Rapids),cedarrapids,iowa,,,,,,,
208,209,Sterling Heights,Michigan,"132,964","129,699",+2.52%,36.5 sq mi,"3,628/sq mi",42°34′52″N 83°01′49″W﻿ / ﻿42.5812°N 83.0303°W﻿ / 42.5812; -83.0303﻿ (Sterling Heights),sterlingheights,michigan,,,,,,,
209,210,New Haven,Connecticut,"130,418","129,779",+0.49%,18.7 sq mi,"6,948/sq mi",41°18′39″N 72°55′30″W﻿ / ﻿41.3108°N 72.9250°W﻿ / 41.3108; -72.9250﻿ (New Haven),newhaven,connecticut,,,,,,,
210,211,Stamford,Connecticut,"129,775","122,643",+5.82%,37.6 sq mi,"3,434/sq mi",41°04′48″N 73°32′46″W﻿ / ﻿41.0799°N 73.5460°W﻿ / 41.0799; -73.5460﻿ (Stamford),stamford,connecticut,,,,,,,
211,212,Concord,California,"129,688","122,067",+6.24%,30.5 sq mi,"4,221/sq mi",37°58′20″N 122°00′06″W﻿ / ﻿37.9722°N 122.0016°W﻿ / 37.9722; -122.0016﻿ (Concord),concord,california,,,,,,,
212,213,Kent,Washington,"129,618","92,411",+40.26%,33.7 sq mi,"3,784/sq mi",47°23′17″N 122°12′46″W﻿ / ﻿47.3880°N 122.2127°W﻿ / 47.3880; -122.2127﻿ (Kent),kent,washington,,,,,,,
213,214,Santa Clara,California,"129,488","116,468",+11.18%,18.4 sq mi,"6,845/sq mi",37°21′53″N 121°58′04″W﻿ / ﻿37.3646°N 121.9679°W﻿ / 37.3646; -121.9679﻿ (Santa Clara),santaclara,california,,,,,,,
214,215,Elizabeth,New Jersey,"128,885","124,969",+3.13%,12.3 sq mi,"10,459/sq mi",40°39′59″N 74°11′37″W﻿ / ﻿40.6664°N 74.1935°W﻿ / 40.6664; -74.1935﻿ (Elizabeth),elizabeth,newjersey,,,,,,,
215,216,Round Rock,Texas,"128,739","99,887",+28.88%,35.6 sq mi,"3,396/sq mi",30°31′31″N 97°39′58″W﻿ / ﻿30.5252°N 97.6660°W﻿ / 30.5252; -97.6660﻿ (Round Rock),roundrock,texas,,,,,,,
216,217,Thousand Oaks,California,"127,690","126,683",+0.79%,55.2 sq mi,"2,335/sq mi",34°11′36″N 118°52′27″W﻿ / ﻿34.1933°N 118.8742°W﻿ / 34.1933; -118.8742﻿ (Thousand Oaks),thousandoaks,california,,,,,,,
217,218,Lafayette,Louisiana,"126,143","120,623",+4.58%,53.8 sq mi,"2,372/sq mi",30°12′27″N 92°01′43″W﻿ / ﻿30.2074°N 92.0285°W﻿ / 30.2074; -92.0285﻿ (Lafayette),lafayette,louisiana,,,,,,,
218,219,Athens,Georgia,"125,964","115,452",+9.11%,116.4 sq mi,"1,060/sq mi",33°56′59″N 83°22′12″W﻿ / ﻿33.9496°N 83.3701°W﻿ / 33.9496; -83.3701﻿ (Athens),athens,georgia,84.0,116.4,301,1.8,4.7,118.2,306
219,220,Topeka,Kansas,"125,904","127,473",−1.23%,61.5 sq mi,"2,062/sq mi",39°02′05″N 95°41′46″W﻿ / ﻿39.0347°N 95.6962°W﻿ / 39.0347; -95.6962﻿ (Topeka),topeka,kansas,,,,,,,
220,221,Simi Valley,California,"125,851","124,237",+1.30%,41.5 sq mi,"3,044/sq mi",34°16′01″N 118°44′55″W﻿ / ﻿34.2669°N 118.7485°W﻿ / 34.2669; -118.7485﻿ (Simi Valley),simivalley,california,,,,,,,
221,222,Fargo,North Dakota,"124,844","105,549",+18.28%,49.3 sq mi,"2,450/sq mi",46°51′55″N 96°49′44″W﻿ / ﻿46.8652°N 96.8290°W﻿ / 46.8652; -96.8290﻿ (Fargo),fargo,northdakota,,,,,,,
222,223,Norman,Oklahoma,"123,471","110,925",+11.31%,178.8 sq mi,683/sq mi,35°14′26″N 97°20′43″W﻿ / ﻿35.2406°N 97.3453°W﻿ / 35.2406; -97.3453﻿ (Norman),norman,oklahoma,47.0,178.8,463,10.7,28,189.4,491
223,224,Columbia,Missouri,"123,180","108,500",+13.53%,65.0 sq mi,"1,856/sq mi",38°57′06″N 92°19′43″W﻿ / ﻿38.951561°N 92.328638°W﻿ / 38.951561; -92.328638﻿ (Columbia),columbia,missouri,,,,,,,
224,225,Abilene,Texas,"122,999","117,063",+5.07%,106.7 sq mi,"1,146/sq mi",32°27′16″N 99°44′17″W﻿ / ﻿32.4545°N 99.7381°W﻿ / 32.4545; -99.7381﻿ (Abilene),abilene,texas,98.0,106.8,277,5.4,14,112.2,291
225,226,Wilmington,North Carolina,"122,607","106,476",+15.15%,51.6 sq mi,"2,278/sq mi",34°12′33″N 77°53′09″W﻿ / ﻿34.2092°N 77.8858°W﻿ / 34.2092; -77.8858﻿ (Wilmington),wilmington,northcarolina,,,,,,,
226,227,Hartford,Connecticut,"122,587","124,775",−1.75%,17.4 sq mi,"7,083/sq mi",41°45′57″N 72°40′54″W﻿ / ﻿41.7659°N 72.6816°W﻿ / 41.7659; -72.6816﻿ (Hartford),hartford,connecticut,,,,,,,
227,228,Victorville,California,"122,312","115,903",+5.53%,73.3 sq mi,"1,668/sq mi",34°31′40″N 117°21′13″W﻿ / ﻿34.5277°N 117.3536°W﻿ / 34.5277; -117.3536﻿ (Victorville),victorville,california,,,,,,,
228,229,Pearland,Texas,"122,149","91,252",+33.86%,46.3 sq mi,"2,453/sq mi",29°33′21″N 95°19′23″W﻿ / ﻿29.5558°N 95.3231°W﻿ / 29.5558; -95.3231﻿ (Pearland),pearland,texas,,,,,,,
229,230,Vallejo,California,"121,913","115,942",+5.15%,30.7 sq mi,"3,951/sq mi",38°06′28″N 122°15′50″W﻿ / ﻿38.1079°N 122.2640°W﻿ / 38.1079; -122.2640﻿ (Vallejo),vallejo,california,,,,,,,
230,231,Ann Arbor,Michigan,"121,890","113,934",+6.98%,28.1 sq mi,"4,298/sq mi",42°16′34″N 83°43′51″W﻿ / ﻿42.2761°N 83.7309°W﻿ / 42.2761; -83.7309﻿ (Ann Arbor),annarbor,michigan,,,,,,,
231,232,Berkeley,California,"121,643","112,580",+8.05%,10.5 sq mi,"11,547/sq mi",37°52′01″N 122°17′57″W﻿ / ﻿37.8670°N 122.2991°W﻿ / 37.8670; -122.2991﻿ (Berkeley),berkeley,california,,,,,,,
232,233,Allentown,Pennsylvania,"121,433","118,032",+2.88%,17.5 sq mi,"6,882/sq mi",40°35′37″N 75°28′42″W﻿ / ﻿40.5936°N 75.4784°W﻿ / 40.5936; -75.4784﻿ (Allentown),allentown,pennsylvania,,,,,,,
233,234,Richardson,Texas,"120,981","99,223",+21.93%,28.6 sq mi,"3,963/sq mi",32°58′20″N 96°42′29″W﻿ / ﻿32.9723°N 96.7081°W﻿ / 32.9723; -96.7081﻿ (Richardson),richardson,texas,,,,,,,
234,235,Odessa,Texas,"120,568","99,940",+20.64%,45.2 sq mi,"2,608/sq mi",31°53′02″N 102°20′28″W﻿ / ﻿31.8838°N 102.3411°W﻿ / 31.8838; -102.3411﻿ (Odessa),odessa,texas,,,,,,,
235,236,Arvada,Colorado,"120,492","106,433",+13.21%,38.6 sq mi,"3,043/sq mi",39°50′01″N 105°09′01″W﻿ / ﻿39.8337°N 105.1503°W﻿ / 39.8337; -105.1503﻿ (Arvada),arvada,colorado,,,,,,,
236,237,Cambridge,Massachusetts,"118,977","105,162",+13.14%,6.4 sq mi,"17,289/sq mi",42°22′34″N 71°07′07″W﻿ / ﻿42.3760°N 71.1187°W﻿ / 42.3760; -71.1187﻿ (Cambridge),cambridge,massachusetts,,,,,,,
237,238,Sugar Land,Texas,"118,600","78,817",+50.48%,34.0 sq mi,"3,488/sq mi",29°35′58″N 95°36′51″W﻿ / ﻿29.5994°N 95.6142°W﻿ / 29.5994; -95.6142﻿ (Sugar Land),sugarland,texas,,,,,,,
238,239,Beaumont,Texas,"118,428","118,296",+0.11%,82.1 sq mi,"1,441/sq mi",30°05′06″N 94°08′43″W﻿ / ﻿30.0849°N 94.1453°W﻿ / 30.0849; -94.1453﻿ (Beaumont),beaumont,texas,130.0,82.8,214,3.0,7.8,85.8,222
239,240,Lansing,Michigan,"118,427","114,297",+3.61%,39.1 sq mi,"2,967/sq mi",42°42′51″N 84°33′33″W﻿ / ﻿42.7143°N 84.5593°W﻿ / 42.7143; -84.5593﻿ (Lansing),lansing,michigan,,,,,,,
240,241,Evansville,Indiana,"117,963","117,429",+0.45%,47.3 sq mi,"2,526/sq mi",37°59′16″N 87°32′05″W﻿ / ﻿37.9877°N 87.5347°W﻿ / 37.9877; -87.5347﻿ (Evansville),evansville,indiana,,,,,,,
241,242,Rochester,Minnesota,"116,961","106,769",+9.55%,54.6 sq mi,"2,088/sq mi",44°00′55″N 92°28′38″W﻿ / ﻿44.0154°N 92.4772°W﻿ / 44.0154; -92.4772﻿ (Rochester),rochester,minnesota,,,,,,,
242,243,Independence,Missouri,"116,925","116,830",+0.08%,77.8 sq mi,"1,504/sq mi",39°05′08″N 94°21′08″W﻿ / ﻿39.0855°N 94.3521°W﻿ / 39.0855; -94.3521﻿ (Independence),independence,missouri,144.0,77.6,201,0.7,1.8,78.2,203
243,244,Fairfield,California,"116,884","105,321",+10.98%,40.9 sq mi,"2,806/sq mi",38°15′33″N 122°01′56″W﻿ / ﻿38.2593°N 122.0321°W﻿ / 38.2593; -122.0321﻿ (Fairfield),fairfield,california,,,,,,,
244,245,Provo,Utah,"116,702","112,488",+3.75%,41.7 sq mi,"2,803/sq mi",40°14′43″N 111°38′41″W﻿ / ﻿40.2453°N 111.6448°W﻿ / 40.2453; -111.6448﻿ (Provo),provo,utah,,,,,,,
245,246,Clearwater,Florida,"116,478","107,685",+8.17%,25.9 sq mi,"4,415/sq mi",27°58′44″N 82°46′00″W﻿ / ﻿27.9789°N 82.7666°W﻿ / 27.9789; -82.7666﻿ (Clearwater),clearwater,florida,,,,,,,
246,247,College Station,Texas,"116,218","93,857",+23.82%,51.0 sq mi,"2,199/sq mi",30°35′07″N 96°17′47″W﻿ / ﻿30.5852°N 96.2964°W﻿ / 30.5852; -96.2964﻿ (College Station),collegestation,texas,,,,,,,
247,248,West Jordan,Utah,"116,046","103,712",+11.89%,32.3 sq mi,"3,520/sq mi",40°36′09″N 112°00′03″W﻿ / ﻿40.6024°N 112.0008°W﻿ / 40.6024; -112.0008﻿ (West Jordan),westjordan,utah,,,,,,,
248,249,Carlsbad,California,"115,877","105,328",+10.02%,37.7 sq mi,"3,023/sq mi",33°07′26″N 117°16′58″W﻿ / ﻿33.1239°N 117.2828°W﻿ / 33.1239; -117.2828﻿ (Carlsbad),carlsbad,california,,,,,,,
249,250,El Monte,California,"115,586","113,475",+1.86%,9.6 sq mi,"12,063/sq mi",34°04′29″N 118°01′45″W﻿ / ﻿34.0746°N 118.0291°W﻿ / 34.0746; -118.0291﻿ (El Monte),elmonte,california,,,,,,,
250,251,Murrieta,California,"114,985","103,466",+11.13%,33.6 sq mi,"3,324/sq mi",33°34′20″N 117°11′25″W﻿ / ﻿33.5721°N 117.1904°W﻿ / 33.5721; -117.1904﻿ (Murrieta),murrieta,california,,,,,,,
251,252,Temecula,California,"114,742","100,097",+14.63%,37.3 sq mi,"3,031/sq mi",33°29′35″N 117°07′54″W﻿ / ﻿33.4931°N 117.1317°W﻿ / 33.4931; -117.1317﻿ (Temecula),temecula,california,,,,,,,
252,253,Springfield,Illinois,"114,694","116,250",−1.34%,60.1 sq mi,"1,925/sq mi",39°47′28″N 89°38′41″W﻿ / ﻿39.7911°N 89.6446°W﻿ / 39.7911; -89.6446﻿ (Springfield),springfield,illinois,,,,,,,
253,254,Palm Bay,Florida,"114,194","103,190",+10.66%,65.7 sq mi,"1,676/sq mi",27°59′08″N 80°39′45″W﻿ / ﻿27.9856°N 80.6626°W﻿ / 27.9856; -80.6626﻿ (Palm Bay),palmbay,florida,,,,,,,
254,255,Costa Mesa,California,"113,615","109,960",+3.32%,15.7 sq mi,"7,186/sq mi",33°39′57″N 117°54′44″W﻿ / ﻿33.6659°N 117.9123°W﻿ / 33.6659; -117.9123﻿ (Costa Mesa),costamesa,california,,,,,,,
255,256,Westminster,Colorado,"113,479","106,114",+6.94%,31.7 sq mi,"3,592/sq mi",39°52′56″N 105°03′52″W﻿ / ﻿39.8822°N 105.0644°W﻿ / 39.8822; -105.0644﻿ (Westminster),westminster,colorado,,,,,,,
256,257,North Charleston,South Carolina,"113,237","97,471",+16.18%,73.7 sq mi,"1,483/sq mi",32°55′04″N 80°03′54″W﻿ / ﻿32.9178°N 80.0650°W﻿ / 32.9178; -80.0650﻿ (North Charleston),northcharleston,southcarolina,,,,,,,
257,258,Miami Gardens,Florida,"113,069","107,167",+5.51%,18.2 sq mi,"6,212/sq mi",25°56′56″N 80°14′37″W﻿ / ﻿25.9489°N 80.2436°W﻿ / 25.9489; -80.2436﻿ (Miami Gardens),miamigardens,florida,,,,,,,
258,259,Manchester,New Hampshire,"112,525","109,565",+2.70%,33.1 sq mi,"3,339/sq mi",42°59′06″N 71°26′39″W﻿ / ﻿42.9849°N 71.4441°W﻿ / 42.9849; -71.4441﻿ (Manchester),manchester,newhampshire,,,,,,,
259,260,High Point,North Carolina,"112,316","104,371",+7.61%,55.2 sq mi,"2,015/sq mi",35°59′24″N 79°59′26″W﻿ / ﻿35.9900°N 79.9905°W﻿ / 35.9900; -79.9905﻿ (High Point),highpoint,northcarolina,,,,,,,
260,261,Downey,California,"112,269","111,772",+0.44%,12.4 sq mi,"9,134/sq mi",33°56′18″N 118°07′51″W﻿ / ﻿33.9382°N 118.1309°W﻿ / 33.9382; -118.1309﻿ (Downey),downey,california,,,,,,,
261,262,Clovis,California,"112,022","95,631",+17.14%,24.2 sq mi,"4,404/sq mi",36°49′42″N 119°41′06″W﻿ / ﻿36.8282°N 119.6849°W﻿ / 36.8282; -119.6849﻿ (Clovis),clovis,california,,,,,,,
262,263,Pompano Beach,Florida,"111,954","99,845",+12.13%,24.0 sq mi,"4,558/sq mi",26°14′30″N 80°08′02″W﻿ / ﻿26.2416°N 80.1339°W﻿ / 26.2416; -80.1339﻿ (Pompano Beach),pompanobeach,florida,,,,,,,
263,264,Pueblo,Colorado,"111,750","106,595",+4.84%,53.6 sq mi,"2,058/sq mi",38°16′12″N 104°36′44″W﻿ / ﻿38.2699°N 104.6123°W﻿ / 38.2699; -104.6123﻿ (Pueblo),pueblo,colorado,,,,,,,
264,265,Elgin,Illinois,"111,683","108,188",+3.23%,37.4 sq mi,"2,998/sq mi",42°02′23″N 88°19′18″W﻿ / ﻿42.0396°N 88.3217°W﻿ / 42.0396; -88.3217﻿ (Elgin),elgin,illinois,,,,,,,
265,266,Lowell,Massachusetts,"111,670","106,519",+4.84%,13.6 sq mi,"8,129/sq mi",42°38′20″N 71°19′16″W﻿ / ﻿42.6390°N 71.3211°W﻿ / 42.6390; -71.3211﻿ (Lowell),lowell,massachusetts,,,,,,,
266,267,Antioch,California,"111,535","102,372",+8.95%,29.4 sq mi,"3,772/sq mi",37°58′45″N 121°47′46″W﻿ / ﻿37.9791°N 121.7962°W﻿ / 37.9791; -121.7962﻿ (Antioch),antioch,california,,,,,,,
267,268,West Palm Beach,Florida,"111,398","99,919",+11.49%,55.1 sq mi,"1,963/sq mi",26°44′47″N 80°07′30″W﻿ / ﻿26.7464°N 80.1251°W﻿ / 26.7464; -80.1251﻿ (West Palm Beach),westpalmbeach,florida,,,,,,,
268,269,Peoria,Illinois,"111,388","115,007",−3.15%,48.2 sq mi,"2,371/sq mi",40°45′05″N 89°37′03″W﻿ / ﻿40.7515°N 89.6174°W﻿ / 40.7515; -89.6174﻿ (Peoria),peoria,illinois,,,,,,,
269,270,Everett,Washington,"111,262","103,019",+8.00%,33.3 sq mi,"3,275/sq mi",47°57′24″N 122°11′29″W﻿ / ﻿47.9566°N 122.1914°W﻿ / 47.9566; -122.1914﻿ (Everett),everett,washington,,,,,,,
270,271,Ventura,California,"111,128","106,433",+4.41%,21.8 sq mi,"5,027/sq mi",34°16′04″N 119°15′15″W﻿ / ﻿34.2678°N 119.2542°W﻿ / 34.2678; -119.2542﻿ (Ventura),ventura,california,,,,,,,
271,272,Centennial,Colorado,"110,831","100,377",+10.41%,29.5 sq mi,"3,727/sq mi",39°35′26″N 104°52′09″W﻿ / ﻿39.5906°N 104.8691°W﻿ / 39.5906; -104.8691﻿ (Centennial),centennial,colorado,,,,,,,
272,273,Lakeland,Florida,"110,516","97,422",+13.44%,65.9 sq mi,"1,615/sq mi",28°03′20″N 81°57′18″W﻿ / ﻿28.0555°N 81.9549°W﻿ / 28.0555; -81.9549﻿ (Lakeland),lakeland,florida,,,,,,,
273,274,Gresham,Oregon,"110,158","105,594",+4.32%,23.3 sq mi,"4,786/sq mi",45°30′08″N 122°26′30″W﻿ / ﻿45.5023°N 122.4416°W﻿ / 45.5023; -122.4416﻿ (Gresham),gresham,oregon,,,,,,,
274,275,Richmond,California,"110,146","103,701",+6.21%,30.1 sq mi,"3,648/sq mi",37°57′08″N 122°21′38″W﻿ / ﻿37.9523°N 122.3606°W﻿ / 37.9523; -122.3606﻿ (Richmond),richmond,california,,,,,,,
275,276,Billings,Montana,"109,550","104,170",+5.16%,43.7 sq mi,"2,525/sq mi",45°47′19″N 108°33′00″W﻿ / ﻿45.7885°N 108.5499°W﻿ / 45.7885; -108.5499﻿ (Billings),billings,montana,,,,,,,
276,277,Inglewood,California,"109,419","109,673",−0.23%,9.1 sq mi,"12,160/sq mi",33°57′22″N 118°20′39″W﻿ / ﻿33.9561°N 118.3443°W﻿ / 33.9561; -118.3443﻿ (Inglewood),inglewood,california,,,,,,,
277,278,Broken Arrow,Oklahoma,"109,171","98,850",+10.44%,61.7 sq mi,"1,741/sq mi",36°02′11″N 95°46′52″W﻿ / ﻿36.0365°N 95.7810°W﻿ / 36.0365; -95.7810﻿ (Broken Arrow),brokenarrow,oklahoma,,,,,,,
278,279,Sandy Springs,Georgia,"108,797","93,853",+15.92%,37.7 sq mi,"2,804/sq mi",33°55′53″N 84°22′07″W﻿ / ﻿33.9315°N 84.3687°W﻿ / 33.9315; -84.3687﻿ (Sandy Springs),sandysprings,georgia,,,,,,,
279,280,Jurupa Valley,California,"108,393",0,,42.9 sq mi,"2,414/sq mi",34°00′09″N 117°28′03″W﻿ / ﻿34.0026°N 117.4676°W﻿ / 34.0026; -117.4676﻿ (Jurupa Valley),jurupavalley,california,,,,,,,
280,281,Hillsboro,Oregon,"108,389","91,611",+18.31%,25.0 sq mi,"4,207/sq mi",45°31′41″N 122°56′09″W﻿ / ﻿45.5280°N 122.9357°W﻿ / 45.5280; -122.9357﻿ (Hillsboro),hillsboro,oregon,,,,,,,
281,282,Waterbury,Connecticut,"108,093","110,366",−2.06%,28.5 sq mi,"3,799/sq mi",41°33′31″N 73°02′12″W﻿ / ﻿41.5585°N 73.0367°W﻿ / 41.5585; -73.0367﻿ (Waterbury),waterbury,connecticut,,,,,,,
282,283,Santa Maria,California,"107,408","99,553",+7.89%,22.8 sq mi,"4,662/sq mi",34°56′00″N 120°26′38″W﻿ / ﻿34.9332°N 120.4438°W﻿ / 34.9332; -120.4438﻿ (Santa Maria),santamaria,california,,,,,,,
283,284,Boulder,Colorado,"107,353","97,385",+10.24%,24.8 sq mi,"4,358/sq mi",40°01′37″N 105°15′07″W﻿ / ﻿40.0270°N 105.2519°W﻿ / 40.0270; -105.2519﻿ (Boulder),boulder,colorado,,,,,,,
284,285,Greeley,Colorado,"107,348","92,889",+15.57%,47.8 sq mi,"2,176/sq mi",40°24′55″N 104°46′11″W﻿ / ﻿40.4153°N 104.7697°W﻿ / 40.4153; -104.7697﻿ (Greeley),greeley,colorado,,,,,,,
285,286,Daly City,California,"107,008","101,123",+5.82%,7.6 sq mi,"14,009/sq mi",37°42′03″N 122°27′54″W﻿ / ﻿37.7009°N 122.4650°W﻿ / 37.7009; -122.4650﻿ (Daly City),dalycity,california,,,,,,,
286,287,Meridian,Idaho,"106,804","75,092",+42.23%,29.8 sq mi,"3,584/sq mi",43°36′51″N 116°23′56″W﻿ / ﻿43.6142°N 116.3989°W﻿ / 43.6142; -116.3989﻿ (Meridian),meridian,idaho,,,,,,,
287,288,Lewisville,Texas,"106,586","95,290",+11.85%,36.7 sq mi,"2,852/sq mi",33°02′48″N 96°58′54″W﻿ / ﻿33.0466°N 96.9818°W﻿ / 33.0466; -96.9818﻿ (Lewisville),lewisville,texas,,,,,,,
288,289,Davie,Florida,"106,558","91,992",+15.83%,34.9 sq mi,"2,919/sq mi",26°04′45″N 80°17′06″W﻿ / ﻿26.0791°N 80.2850°W﻿ / 26.0791; -80.2850﻿ (Davie),davie,florida,,,,,,,
289,290,West Covina,California,"106,311","106,098",+0.20%,16.0 sq mi,"6,740/sq mi",34°03′21″N 117°54′36″W﻿ / ﻿34.0559°N 117.9099°W﻿ / 34.0559; -117.9099﻿ (West Covina),westcovina,california,,,,,,,
290,291,League City,Texas,"106,244","83,560",+27.15%,51.2 sq mi,"1,992/sq mi",29°29′24″N 95°06′33″W﻿ / ﻿29.4901°N 95.1091°W﻿ / 29.4901; -95.1091﻿ (League City),leaguecity,texas,,,,,,,
291,292,Tyler,Texas,"105,729","96,900",+9.11%,56.6 sq mi,"1,852/sq mi",32°19′02″N 95°18′21″W﻿ / ﻿32.3173°N 95.3059°W﻿ / 32.3173; -95.3059﻿ (Tyler),tyler,texas,,,,,,,
292,293,Norwalk,California,"105,120","105,549",−0.41%,9.7 sq mi,"10,946/sq mi",33°54′27″N 118°05′01″W﻿ / ﻿33.9076°N 118.0835°W﻿ / 33.9076; -118.0835﻿ (Norwalk),norwalk,california,,,,,,,
293,294,San Mateo,California,"105,025","97,207",+8.04%,12.1 sq mi,"8,592/sq mi",37°33′37″N 122°18′38″W﻿ / ﻿37.5603°N 122.3106°W﻿ / 37.5603; -122.3106﻿ (San Mateo),sanmateo,california,,,,,,,
294,295,Green Bay,Wisconsin,"104,879","104,057",+0.79%,45.4 sq mi,"2,316/sq mi",44°31′15″N 87°59′03″W﻿ / ﻿44.5207°N 87.9842°W﻿ / 44.5207; -87.9842﻿ (Green Bay),greenbay,wisconsin,,,,,,,
295,296,Wichita Falls,Texas,"104,576","104,553",+0.02%,72.2 sq mi,"1,450/sq mi",33°54′24″N 98°31′33″W﻿ / ﻿33.9067°N 98.5259°W﻿ / 33.9067; -98.5259﻿ (Wichita Falls),wichitafalls,texas,,,,,,,
296,297,Sparks,Nevada,"104,246","90,264",+15.49%,35.9 sq mi,"2,810/sq mi",39°33′16″N 119°44′08″W﻿ / ﻿39.5544°N 119.7356°W﻿ / 39.5544; -119.7356﻿ (Sparks),sparks,nevada,,,,,,,
297,298,Lakewood,New Jersey,"104,157","92,843",+12.19%,24.7 sq mi,"4,079/sq mi",40°04′38″N 74°12′01″W﻿ / ﻿40.0771°N 74.2004°W﻿ / 40.0771; -74.2004﻿ (Lakewood),lakewood,newjersey,,,,,,,
298,299,Burbank,California,"103,695","103,340",+0.34%,17.4 sq mi,"6,003/sq mi",34°11′24″N 118°19′35″W﻿ / ﻿34.1901°N 118.3264°W﻿ / 34.1901; -118.3264﻿ (Burbank),burbank,california,,,,,,,
299,300,Rialto,California,"103,440","99,171",+4.30%,22.3 sq mi,"4,633/sq mi",34°06′42″N 117°23′18″W﻿ / ﻿34.1118°N 117.3883°W﻿ / 34.1118; -117.3883﻿ (Rialto),rialto,california,,,,,,,
300,301,Allen,Texas,"103,383","84,246",+22.72%,27.1 sq mi,"3,715/sq mi",33°05′59″N 96°39′47″W﻿ / ﻿33.0997°N 96.6631°W﻿ / 33.0997; -96.6631﻿ (Allen),allen,texas,,,,,,,
301,302,El Cajon,California,"103,241","99,478",+3.78%,14.5 sq mi,"7,156/sq mi",32°48′06″N 116°57′37″W﻿ / ﻿32.8017°N 116.9604°W﻿ / 32.8017; -116.9604﻿ (El Cajon),elcajon,california,,,,,,,
302,303,Las Cruces,New Mexico,"102,926","97,618",+5.44%,76.9 sq mi,"1,323/sq mi",32°19′35″N 106°47′23″W﻿ / ﻿32.3264°N 106.7897°W﻿ / 32.3264; -106.7897﻿ (Las Cruces),lascruces,newmexico,149.0,76.5,198,0.1,0.26,76.6,198
303,304,Renton,Washington,"102,153","90,927",+12.35%,23.4 sq mi,"4,314/sq mi",47°28′34″N 122°11′31″W﻿ / ﻿47.4761°N 122.1920°W﻿ / 47.4761; -122.1920﻿ (Renton),renton,washington,,,,,,,
304,305,Davenport,Iowa,"102,085","99,685",+2.41%,62.9 sq mi,"1,631/sq mi",41°33′15″N 90°36′14″W﻿ / ﻿41.5541°N 90.6040°W﻿ / 41.5541; -90.6040﻿ (Davenport),davenport,iowa,,,,,,,
305,306,South Bend,Indiana,"101,860","101,168",+0.68%,41.4 sq mi,"2,457/sq mi",41°40′37″N 86°16′08″W﻿ / ﻿41.6769°N 86.2690°W﻿ / 41.6769; -86.2690﻿ (South Bend),southbend,indiana,,,,,,,
306,307,Vista,California,"101,224","93,834",+7.88%,18.7 sq mi,"5,436/sq mi",33°11′22″N 117°14′19″W﻿ / ﻿33.1895°N 117.2386°W﻿ / 33.1895; -117.2386﻿ (Vista),vista,california,,,,,,,
307,308,Tuscaloosa,Alabama,"101,113","90,468",+11.77%,71.7 sq mi,"1,399/sq mi",33°12′23″N 87°32′05″W﻿ / ﻿33.2065°N 87.5346°W﻿ / 33.2065; -87.5346﻿ (Tuscaloosa),tuscaloosa,alabama,,,,,,,
308,309,Clinton,Michigan,"100,800","96,796",+4.14%,28.1 sq mi,"3,573/sq mi",42°35′25″N 82°55′01″W﻿ / ﻿42.5903°N 82.9170°W﻿ / 42.5903; -82.9170﻿ (Clinton),clinton,michigan,,,,,,,
309,310,Edison,New Jersey,"100,693","99,967",+0.73%,30.1 sq mi,"3,389/sq mi",40°30′14″N 74°20′58″W﻿ / ﻿40.5040°N 74.3494°W﻿ / 40.5040; -74.3494﻿ (Edison),edison,newjersey,,,,,,,
310,311,Woodbridge,New Jersey,"100,450","99,585",+0.87%,23.3 sq mi,"4,351/sq mi",40°33′39″N 74°17′34″W﻿ / ﻿40.5607°N 74.2927°W﻿ / 40.5607; -74.2927﻿ (Woodbridge),woodbridge,newjersey,,,,,,,
